date,risk_free_rate
2015-05-27,3.9682539682539683e-07
2015-05-28,3.9682539682539683e-07
2015-05-29,3.9682539682539683e-07
2015-06-01,7.936507936507937e-07
2015-06-02,3.9682539682539683e-07
2015-06-03,7.936507936507937e-07
2015-06-04,7.936507936507937e-07
2015-06-05,1.1904761904761904e-06
2015-06-08,7.936507936507937e-07
2015-06-09,7.936507936507937e-07
2015-06-10,7.936507936507937e-07
2015-06-11,3.9682539682539683e-07
2015-06-12,7.936507936507937e-07
2015-06-15,7.936507936507937e-07
2015-06-16,3.9682539682539683e-07
2015-06-17,3.9682539682539683e-07
2015-06-18,3.9682539682539683e-07
2015-06-19,3.9682539682539683e-07
2015-06-22,3.9682539682539683e-07
2015-06-23,3.9682539682539683e-07
2015-06-24,3.9682539682539683e-07
2015-06-25,3.9682539682539683e-07
2015-06-26,3.9682539682539683e-07
2015-06-29,7.936507936507937e-07
2015-06-30,3.9682539682539683e-07
2015-07-01,3.9682539682539683e-07
2015-07-02,3.9682539682539683e-07
2015-07-06,7.936507936507937e-07
2015-07-07,7.936507936507937e-07
2015-07-08,7.936507936507937e-07
2015-07-09,1.1904761904761904e-06
2015-07-10,3.9682539682539683e-07
2015-07-13,7.936507936507937e-07
2015-07-14,3.9682539682539683e-07
2015-07-15,7.936507936507937e-07
2015-07-16,7.936507936507937e-07
2015-07-17,1.1904761904761904e-06
2015-07-20,1.5873015873015873e-06
2015-07-21,1.1904761904761904e-06
2015-07-22,1.5873015873015873e-06
2015-07-23,1.1904761904761904e-06
2015-07-24,1.5873015873015873e-06
2015-07-27,1.984126984126984e-06
2015-07-28,1.984126984126984e-06
2015-07-29,2.3809523809523808e-06
2015-07-30,2.7777777777777783e-06
2015-07-31,3.1746031746031746e-06
2015-08-03,3.1746031746031746e-06
2015-08-04,3.1746031746031746e-06
2015-08-05,3.1746031746031746e-06
2015-08-06,1.5873015873015873e-06
2015-08-07,2.3809523809523808e-06
2015-08-10,4.7619047619047615e-06
2015-08-11,3.968253968253968e-06
2015-08-12,3.968253968253968e-06
2015-08-13,3.968253968253968e-06
